id;idpro;date;nom;residence;tel
1;insérer;2025-07-20T20:25:27;pourvu que;en face de;pourvu que lectorat
2;terne;2025-07-20T16:46:03;du fait que assez;commissionnaire songer;à travers
3;clac semer imaginer;2025-07-20T09:41:01;pauvre à l'encontre de précisément;constituer;derrière
4;certainement présidence;2025-07-20T23:26:54;comme;alors que diététiste;patientèle pendant que pendant que
5;cocorico devant à seule fin de;2025-07-20T17:52:18;d'avec étant donné que;pour que sympathique;puisque vlan
6;bien que;2025-07-20T12:44:51;ronron durant gigantesque;garantir mince;tellement
7;ding;2025-07-20T00:07:38;bof;encore membre du personnel;hirsute pendre gestionnaire
8;auprès de turquoise;2025-07-20T15:45:22;demain;terriblement;circuler maigre
9;contre tout à fait antagoniste;2025-07-20T23:03:23;accrocher sans;rédaction;sans que entre administration
10;jeter moins;2025-07-20T04:27:47;si;au-dehors acheter pour;secours dériver malgré
